ligand	receptor
Il16	Cd4
Wnt8b	Fzd4
Wnt7a	Fzd6
Wnt8a	Fzd10
Bmp4	Bmpr2
Tnfsf10	Tnfrsf10a
Fgf8	Fgfr3
Bmp3	Bmpr2
Wnt8a	Fzd9
Tnfsf15	Tnfrsf25
Wnt7a	Fzd10
Wnt3	Fzd3
Il10	Il10ra
Fasl	Fas
Wnt2	Fzd1
Clcf1	Cntfr
Amh	Egfr
Ereg	Erbb4
Ppbp	Il7r
Nppb	Npr3
Il27	Il27ra
Angptl3	Itgb3
Ccl2	Darc
Cxcl9	Ccr3
Tnfsf13	Tnfrsf10b
Tnfsf13	Tnfrsf14
Vegfa	Itgb1
Ccl2	Ccr10
Adcyap1	Vipr1
Oxt	Oxtr
Wnt1	Ryk
Gdf5	Acvr2a
Pspn	Gfra4
Ccl14	Ccr3
Ccl21d	Ccr10
Gm13304	Ccr10
Ccl21b	Ccr10
Gm10591	Ccr10
Ccl21a	Ccr10
Cxcl10	Ccr3
Il16	Grin2b
Ccl13	Cxcr3
Ghrl	Ghsr
Ccl16	Ccr8
Mstn	Acvr2b
Agrp	Mc4r
Spp1	Itgb1
Tdgf1	Acvr1c
Bmp2	Eng
Vegfc	Nrp1
Cxcl2	Cxcr2
Cxcl2	Cxcr1
Bmp2	Acvr2a
Nppa	Npr3
Il6	Il6st
Ptn	Ptprs
Ccl7	Ccr2
Ccl5	Darc
Ppbp	Cxcr2
Ppbp	Cxcr1
Tnf	Tnfrsf1b
Iapp	Ramp2
Artn	Gfra3
Il20	Il20ra
Mdk	Lrp2
Avp	Avpr2
Csf1	Csf1r
Ndp	Fzd4
Wnt1	Lrp6
Csf2	Csf3r
Il4	Gm20489
Il4	Il2rg
Ppbp	Cxcr1
Inha	Tgfbr3
Ins1	Lrp2
Ins2	Lrp2
Spp1	Itgb3
F2	Adra1b
Tgfb3	Acvrl1
Inhbb	Acvr1c
Tgfb1	Vtn
Sct	Vipr1
Ccl2	Ccr1
Ccl2	Ccr1l1
Ccl8	Ccr1
Ccl8	Ccr1l1
F2	F2r
Ntf3	Ntrk1
Il12b	Il12rb2
Il25	Esr1
Nppc	Npr3
Amh	Amhr2
Osm	Lifr
Cxcl3	Cxcr1
Ccl11	Cxcr3
Cort	Sstr4
Angpt2	Tek
Csf2	Il3ra
Cck	Cckbr
Hmgb1	Nr3c1
Ifnw1	Ifnar1
Gpi1	Amfr
Nrtn	Gfra2
Cxcl3	Cxcr2
Cxcl3	Cxcr1
Dll4	Notch1
Ucn2	Gm21970
Ucn2	Il10rb
Nov	Itgav
Insl3	Rxfp2
Spp1	Itgb5
Ccl11	Dpp4
Gdf11	Acvr1c
Cxcl13	Cxcr3
Tnfsf14	Traf2
Figf	Itga9
Vegfb	Nrp1
Il24	Il22ra1
F2	Itga2b
Ins1	Insr
Ins2	Insr
Ifng	Ifngr1
Ucn	Crhr1
Kitl	Epor
Tnfsf10	Tnfrsf26
Tnfsf10	Tnfrsf22
Tnfsf10	Tnfrsf23
Calca	Ramp1
Inha	Acvr2a
Il11	Il6st
Nrg1	Erbb3
Ccl12	Ccr1
Ccl12	Ccr1l1
Il17f	Il17ra
Ucn3	Crhr1
Ucn3	Gm21970
Ucn3	Il10rb
Mdk	Ptprz1
Inhbc	Acvr2b
Nppb	Npr2
Adm	Ramp3
Cck	Cckar
Pyy	Npy1r
Il20	Il20rb
Gh	Prlr
Rln3	Rxfp1
Bmp7	Eng
Adcyap1	Sctr
Ccl7	Cxcr3
Csf2	Csf2ra
Sectm1b	Cd7
Sectm1a	Cd7
Ccl12	Darc
Fgf2	Nrp1
Gcg	Gcgr
Avp	Avpr1b
Pomc	Mc3r
Esm1	Itgal
Il15	Il2rb
Ghrl	Mlnr
Sst	Sstr3
Sst	Sstr4
Nppc	Npr2
Ereg	Egfr
Gdf6	Bmpr1b
Prl	Prlr
Prl3d1	Prlr
Prl3d2	Prlr
Prl3d3	Prlr
Prl3c1	Prlr
Prl3b1	Prlr
Prl3a1	Prlr
Prl6a1	Prlr
Prl8a2	Prlr
Prl2b1	Prlr
Prl8a6	Prlr
Prl8a8	Prlr
Prl8a9	Prlr
Prl8a1	Prlr
Prl7b1	Prlr
Prl7a1	Prlr
Prl7a2	Prlr
Prl7d1	Prlr
Prl7c1	Prlr
Prl2a1	Prlr
Prl2c1	Prlr
Prl4a1	Prlr
Prl5a1	Prlr
Prl2c3	Prlr
Prl2c2	Prlr
Prl2c5	Prlr
Pspn	Ret
Cd40lg	Cd40
Hc	C5ar1
Cxcl1	Cxcr1
Lta	Tnfrsf1a
Nts	Ntsr1
Wnt7b	Fzd1
Gast	Cckbr
Tnfsf9	Traf2
Nrtn	Ret
Hbegf	Erbb4
Tnfsf14	Ltbr
Rln1	Rxfp2
Cort	Sstr1
Ntf5	Ntrk2
Cntf	Il6st
Cxcl12	Ccr10
Ucn3	Crhr2
Ccl17	Darc
Ccl9	Ccr3
Ccl6	Ccr3
Adcyap1	Vipr2
Cntf	Cntfr
Ccl2	Ccr5
Ttr	Ddr1
Pth	Pth2r
Spp1	Itga5
Tnfsf14	Tnfrsf6b
Nrg2	Erbb3
Npff	Npffr1
Adm	Calcrl
Pgf	Nrp2
Hmgb1	Ar
Ccl7	Ccr3
Cxcl13	Ccr10
Vegfc	Nrp2
Avp	Avpr1a
Ccl13	Ccr5
